,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
784,Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,137,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,46281,0,2,0,0.0,0,-317,0,317,44,False,0
785,Thomas Wilson-Brown,DEF,Leicester,0.0,0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,36,0,601,0,2,2,0.0,0,-8,0,8,40,False,0
786,Romain Esse,MID,Crystal Palace,0.6,0,0,1,0,1.1,730,0.03,0.03,0.0,0.11,359,0,0,0.7,1.4,2025-05-11T13:15:00Z,12,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,6339,0,2,0,4.0,1,-63,153,216,47,False,0
787,Cieran Slicker,GK,Ipswich,-0.5,0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,65484,0,1,0,0.0,0,-878,252,1130,39,True,0
788,Raheem Sterling,MID,Arsenal,0.8,0,0,0,0,0.0,186,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,94822,0,2,2,0.0,0,-658,183,841,67,False,0
789,Raúl Jiménez,FWD,Fulham,3.5,0,3,35,0,32.5,252,0.06,0.26,0.2,1.12,352,3,1,9.7,37.0,2025-05-10T14:00:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,36,0,572593,1,3,1,27.0,9,-36179,12800,48979,53,True,0
790,Bryan Gil Salvatierra,MID,Spurs,0.0,0,0,0,0,0.0,483,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,115,0,2,0,0.0,0,0,0,0,50,True,0
791,Myles Lewis-Skelly,MID,Arsenal,1.5,0,0,15,0,3.3,597,0.02,0.02,0.0,2.56,354,2,0,0.7,3.8,2025-05-11T15:30:00Z,90,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,43352,1,2,2,0.0,1,-154,3290,3444,45,False,1
792,Giovani Lo Celso,MID,Spurs,0.0,0,0,0,0,0.0,493,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,3036,0,2,0,0.0,0,-2,0,2,49,True,0
793,David Moyes,AM,Everton,3.5,0,0,0,0,0.0,742,0.0,0.0,0.0,0.0,352,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,3,0,0,0,1,False,9,0,0,0,0,36,0,39386,0,3,1,0.0,9,-8335,421,8756,5,False,0
794,Tawanda Chirewa,MID,Wolves,0.0,0,0,0,0,0.0,538,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,2495,0,2,0,0.0,0,-7,0,7,45,True,0
795,Cameron Humphreys,MID,Ipswich,0.0,0,0,0,0,0.0,273,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,1215,0,1,0,0.0,0,-2,0,2,45,True,0
796,Ashley Young,DEF,Everton,1.0,0,0,18,0,46.0,238,0.58,0.58,0.0,0.79,352,1,0,7.6,29.8,2025-05-10T14:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,36,0,162147,1,3,1,0.0,2,-4142,1449,5591,42,False,0
797,Somto Boniface,DEF,Ipswich,-0.5,0,0,0,0,0.0,799,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,350,0,1,0,0.0,0,73,131,58,40,True,0
798,Simon Rusk,AM,Southampton,2.8,0,0,0,0,0.0,748,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,1,1,0,0,1,0,0,False,13,0,0,0,0,36,0,181,0,0,0,0.0,10,-39,39,78,5,True,0
799,Arne Slot,AM,Liverpool,6.5,0,0,0,0,0.0,744,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,1,2,0,0,0,0,False,1,0,0,0,0,36,0,35432,0,2,2,0.0,5,-4521,350,4871,15,True,0
800,James Bree,DEF,Southampton,0.8,0,0,28,1,4.3,457,0.03,0.03,0.0,1.82,358,0,0,2.0,15.2,2025-05-10T14:00:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,35620,1,0,0,0.0,6,-724,83,807,39,True,0
