,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
613,Adam Armstrong,FWD,Southampton,3.3,0,0,2,0,12.5,453,0.03,0.03,0.0,2.29,141,1,0,1.7,2.4,2024-12-07T15:00:00Z,90,False,2,0,0,0,0,15,0,97091,1,0,1,2.0,2,6896,14364,7468,51,False,0
614,Aaron Cresswell,DEF,West Ham,0.2,0,0,5,0,14.0,517,0.06,0.06,0.0,0.17,150,0,0,1.6,2.0,2024-12-09T20:00:00Z,2,False,20,0,0,0,0,15,0,156997,0,1,2,0.0,1,-3956,1000,4956,40,True,0
615,Emil Krafth,DEF,Newcastle,0.0,0,0,0,0,0.0,405,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,4,0,0,0,0,15,0,11212,0,2,4,0.0,0,-457,12,469,43,False,0
616,Jakub Kiwior,DEF,Arsenal,3.5,0,0,8,0,2.2,8,0.03,0.03,0.0,0.16,145,1,0,1.4,11.4,2024-12-08T14:00:00Z,90,False,9,0,0,0,0,15,0,19127,1,1,1,0.0,2,2087,2521,434,48,False,0
617,Kristoffer Ajer,DEF,Brentford,0.0,0,0,0,0,0.0,86,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,15,0,0,0,0,15,0,22374,0,2,4,0.0,0,-1074,19,1093,44,True,0
618,Will Hughes,MID,Crystal Palace,3.2,2,3,36,0,40.3,203,0.33,0.45,0.12,1.45,143,2,0,9.8,51.2,2024-12-07T15:00:00Z,90,False,13,0,0,0,0,15,0,3722,1,2,2,6.0,11,82,259,177,49,True,0
619,David Ozoh,MID,Crystal Palace,0.0,0,0,0,0,0.0,212,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,13,0,0,0,0,15,0,135,0,2,2,0.0,0,-2,0,2,45,True,0
620,Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,137,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,11,0,0,0,0,15,0,95856,0,2,2,0.0,0,-4089,2211,6300,44,False,0
621,Cieran Slicker,GK,Ipswich,0.0,0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,3,0,0,0,0,15,0,71874,0,2,1,0.0,0,-1148,231,1379,40,True,0
622,Raheem Sterling,MID,Arsenal,2.2,0,0,0,0,0.0,186,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,9,0,0,0,0,15,0,97901,0,1,1,0.0,0,-943,283,1226,67,False,0
623,Raúl Jiménez,FWD,Fulham,2.2,0,3,34,0,1.7,252,0.01,0.05,0.04,2.03,145,1,1,5.4,35.0,2024-12-08T14:00:00Z,78,False,1,0,0,0,0,15,0,548422,1,1,1,17.0,8,-129401,4878,134279,55,True,1
624,Bryan Gil Salvatierra,MID,Spurs,0.0,0,0,0,0,0.0,483,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2024-12-08T16:30:00Z,0,False,6,0,0,0,0,15,0,124,0,4,3,0.0,0,-1,0,1,50,True,0
625,Myles Lewis-Skelly,MID,Arsenal,0.8,0,0,0,0,0.0,597,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,9,0,0,0,0,15,0,5998,0,1,1,0.0,0,-352,26,378,45,False,0
626,Giovani Lo Celso,MID,Spurs,0.0,0,0,0,0,0.0,493,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2024-12-08T16:30:00Z,0,False,6,0,0,0,0,15,0,3280,0,4,3,0.0,0,-31,0,31,49,True,0
627,Tawanda Chirewa,MID,Wolves,0.0,0,0,0,0,0.0,538,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2024-12-09T20:00:00Z,0,False,19,0,0,0,0,15,0,3133,0,1,2,0.0,0,-98,0,98,45,False,0
628,Cameron Humphreys,MID,Ipswich,0.0,0,0,0,0,0.0,273,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,3,0,0,0,0,15,0,1575,0,2,1,0.0,0,-37,0,37,45,True,0
629,James Bree,DEF,Southampton,-0.3,0,0,7,0,2.8,457,0.01,0.01,0.0,0.99,141,1,0,1.2,9.6,2024-12-07T15:00:00Z,45,False,2,0,0,0,0,15,0,33062,1,0,1,0.0,1,1843,3746,1903,39,False,0
